年度,屆別,獎項名稱,入圍作品,入圍單位/者,報名單位
80,2,最佳女演唱人獎,〔忽然想起你〕,蔡琴,飛碟企業有限公司
80,2,最佳女演唱人獎,〔我是不是你最疼愛的人〕,潘越雲,滾石有聲出版社有限公司
80,2,最佳年度歌曲獎,北風,寶麗金唱片股份有限公司,寶麗金唱片股份有限公司
80,2,最佳年度歌曲獎,沙漠、駱駝、男人、女人,喜瑪拉雅有限公司,喜瑪拉雅有限公司
80,2,最佳年度歌曲獎,我還有夢,飛碟企業有限公司,飛碟企業有限公司
80,2,最佳年度歌曲獎,客途秋恨,點將股份有限公司,點將股份有限公司
80,2,最佳年度歌曲獎,將你的靈魂接在我的線路上,飛碟企業有限公司,飛碟企業有限公司
80,2,最佳年度歌曲獎,這城市有愛,滾石有聲出版社有限公司,滾石有聲出版社有限公司
80,2,最佳年度歌曲獎,做總統有機會,吉馬唱片錄音帶有限公司,吉馬唱片錄音帶有限公司
80,2,最佳年度歌曲獎,單身逃亡,可登有聲出版社有限公司,可登有聲出版社有限公司
80,2,最佳年度歌曲獎,裙擺飛揚,喜瑪拉雅有限公司,喜瑪拉雅有限公司
80,2,最佳年度歌曲獎,夢醒時分,滾石有聲出版社有限公司,滾石有聲出版社有限公司
