年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
115,37,演唱類個人獎,最佳樂團獎,暮夜徐行,老王樂隊（張立長、廖潔民、馮會元、邵佳瑩、童偉碩）,壞鄰居有限公司,
115,37,演唱類個人獎,最佳樂團獎,QUIT QUIETLY,落日飛車（羅尊龍、陳弘禮、王少軒、黃浩庭、曾國宏）,夕陽音樂產業有限公司,
115,37,演唱類個人獎,最佳樂團獎,我們就像那些要命的傻瓜,告五人（犬青、雲安、哲謙）,相信音樂國際股份有限公司,
115,37,演唱類個人獎,最佳樂團獎,GOOD AFTERNIGHT,甜約翰（吳浚瑋、梁丹郡、陳冠宇、鍾曜年）,歪的音樂有限公司,
115,37,演唱類個人獎,最佳樂團獎,說出我的名字,Tizzy Bac（陳惠婷、林前源）,相信音樂國際股份有限公司,
115,37,演唱類個人獎,最佳演唱組合獎,OGS,頑童MJ116（瘦子E.SO、小春、大淵MUTA）,滾石國際音樂股份有限公司,
115,37,演唱類個人獎,最佳演唱組合獎,MIRROR,GENBLUE（XXIN、媛媛、AYEON、Lili、Ayako、Nico）,天空娛樂,
115,37,演唱類個人獎,最佳演唱組合獎,Hidden Album,凹與山（Isan、小凹）,明天的歌有限公司,
115,37,演唱類個人獎,最佳演唱組合獎,愛的對白,椅子樂團（裘詠靖、陳仲穎、孫伯元）,明天的歌有限公司,
115,37,演唱類個人獎,最佳演唱組合獎,Enough,Dac & 鄭昭元 ZAOYUAN（鄭昭元、Dac）,科學怪人股份有限公司,
115,37,演唱類個人獎,最佳新人獎,如果每天都可以happy happy 誰想要sad：* - 合作的秘密,陳嫺靜,顏社企業有限公司,
115,37,演唱類個人獎,最佳新人獎,ALIVE,高真 TRU(高正恩),好撐音樂股份有限公司,
115,37,演唱類個人獎,最佳新人獎,海螺記,163 braces(吳朵芸),滾石國際音樂股份有限公司,
115,37,演唱類個人獎,最佳新人獎,慢花誌,陳以諾,環球國際唱片股份有限公司,
115,37,演唱類個人獎,最佳新人獎,我說,CJ MiT(謝金融),滾石移動股份有限公司,
115,37,演唱類個人獎,最佳新人獎,才華換桃花,JOYCE 就以斯（詹佳穎）,放飛音樂有限公司,
115,37,演奏類出版獎,演奏類最佳專輯獎,Over The Moons,種種可能企業有限公司,種種可能企業有限公司,演奏者：蘇郁涵
115,37,演奏類出版獎,演奏類最佳專輯獎,Regrow Protocol,派樂黛唱片有限公司,派樂黛唱片有限公司,演奏者：Oberka
115,37,演奏類出版獎,演奏類最佳專輯獎,心之歸途,街聲股份有限公司,街聲股份有限公司,演奏者：大恭
115,37,演奏類出版獎,演奏類最佳專輯獎,傳奇．雙擊--新視界,麥丁文化事業有限公司,麥丁文化事業有限公司,演奏者：黃瑞豐、吳政君
115,37,演奏類出版獎,演奏類最佳專輯獎,reel mu$ic,夕陽音樂產業有限公司,夕陽音樂產業有限公司,演奏者：cool nel d
115,37,演奏類個人獎,演奏類最佳專輯製作人獎,Over The Moons,蘇郁涵,種種可能企業有限公司,演奏者：蘇郁涵
115,37,演奏類個人獎,演奏類最佳專輯製作人獎,Regrow Protocol,Oberka,派樂黛唱片有限公司,演奏者：Oberka
115,37,演奏類個人獎,演奏類最佳專輯製作人獎,"長夜將盡 電影原聲音樂 (Wild Nights, Tamed Beasts [Original Soundtrack])",丁可,街聲股份有限公司,演奏者：丁可
115,37,演奏類個人獎,演奏類最佳專輯製作人獎,心之歸途,大恭,街聲股份有限公司,演奏者：大恭
115,37,演奏類個人獎,演奏類最佳專輯製作人獎,傳奇．雙擊--新視界,黃瑞豐、吳政君,麥丁文化事業有限公司,演奏者：黃瑞豐、吳政君
115,37,演奏類個人獎,演奏類最佳作曲人獎,Harsanik,錢威良,街聲股份有限公司,演奏者：Bazaar
115,37,演奏類個人獎,演奏類最佳作曲人獎,<春 / Spring>,黃令先,菁英藝術家,演奏者：狂想三重奏
115,37,演奏類個人獎,演奏類最佳作曲人獎,Pieces Peace 碎碎平安,蘇郁涵,種種可能企業有限公司,演奏者：蘇郁涵、Alex LoRe、Anna Webber、Matt Mitchell、陳穎達、Marty Kenney、James Paul Nadien、Shinya Lin
115,37,演奏類個人獎,演奏類最佳作曲人獎,金,黃瑞豐、吳政君,麥丁文化事業有限公司,演奏者：黃瑞豐、吳政君
115,37,演奏類個人獎,演奏類最佳作曲人獎,居住正義,李軍,風潮音樂國際股份有限公司,演奏者：李軍
115,37,演奏類個人獎,演奏類最佳作曲人獎,rentfree,Nelson Thomas Ny-Devereaux,夕陽音樂產業有限公司,演奏者：cool nel d
115,37,技術類出版獎,最佳MV獎,純妹妹《純妹妹》,禾聲文化娛樂有限公司,禾聲文化娛樂有限公司,導演：瓜西西
115,37,技術類出版獎,最佳MV獎,Sakura Gansha《Suí 水》,果核音樂玫瑰森林農場有限公司,果核音樂玫瑰森林農場有限公司,導演：劉熙真
115,37,技術類出版獎,最佳MV獎,此刻《樹洞裡可以悲傷》,雪人有限公司,雪人有限公司,導演：林書宇
115,37,技術類出版獎,最佳MV獎,怪情歌《Apples of Thy Eye》,華研國際音樂股份有限公司,華研國際音樂股份有限公司,導演：亞歷三小、自動鮪魚
115,37,技術類出版獎,最佳MV獎,歸零→0《∞→0》,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,導演：Ai Chen、凃昭旭
115,37,技術類出版獎,最佳MV獎,Pleasure《Pleasure》,華納國際音樂股份有限公司,華納國際音樂股份有限公司,演唱者：蔡依林
